Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2018);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Publisher;Coverage;Categories
35;1300147101;"Foundations of Science";journal;"12331821";0,292;Q2;21;64;146;2507;109;136;0,71;39,17;Netherlands;"Springer Netherlands";"1995, 1997-2002, 2005-ongoing";"History and Philosophy of Science (Q2); Multidisciplinary (Q2)"
36;19700201672;"Journal of the Association of Arab Universities for Basic and Applied Sciences";journal;"22131574, 18153852";0,292;Q2;17;0;120;0;233;118;1,98;0,00;Bahrain;"Elsevier BV";"2010-ongoing";"Agricultural and Biological Sciences (miscellaneous) (Q2); Multidisciplinary (Q2); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q3); Chemistry (miscellaneous) (Q3); Energy (miscellaneous) (Q3); Environmental Science (miscellaneous) (Q3); Materials Science (miscellaneous) (Q3); Mathematics (miscellaneous) (Q3)"
37;22386;"Hunan Daxue Xuebao/Journal of Hunan University Natural Sciences";journal;"10002472";0,291;Q2;13;274;768;5030;366;768;0,45;18,36;China;"Hunan Daxue/Hunan University";"1992-1993, 1996, 2001-ongoing";"Multidisciplinary (Q2)"
38;145331;"Brazilian Archives of Biology and Technology";journal;"15168913";0,278;Q2;40;48;292;1422;278;283;0,63;29,63;Brazil;"Instituto de Tecnologia do Parana";"1998-ongoing";"Multidisciplinary (Q2)"
39;20699;"Current Science";journal;"00113891";0,272;Q2;104;776;2251;17551;1431;1440;0,85;22,62;India;"Indian Academy of Sciences";"1947-1951, 1973-1989, 1993-ongoing";"Multidisciplinary (Q2)"
40;23716;"Science, Technology and Society";journal;"09717218";0,272;Q2;20;26;74;1041;77;70;0,88;40,04;India;"Sage Publications India Pvt Ltd.";"1996-ongoing";"Multidisciplinary (Q2)"
41;25490;"Tongji Daxue Xuebao/Journal of Tongji University";journal;"0253374X";0,262;Q2;28;280;862;4808;371;862;0,36;17,17;China;"Science Press";"1999-ongoing";"Multidisciplinary (Q2)"
42;23049;"Issues in Science and Technology";journal;"07485492";0,251;Q2;27;0;135;0;75;70;1,52;0,00;United States;"University of Texas at Dallas";"1985-1999, 2001-ongoing";"Multidisciplinary (Q2)"
43;22447;"Journal of the Indian Institute of Science";journal;"00194964";0,248;Q2;25;25;106;1861;100;91;0,77;74,44;India;"Indian Institute of Science";"1974, 1976-1978, 1983-1984, 1988, 1995-ongoing";"Multidisciplinary (Q2)"
44;6500153124;"Theology and Science";journal;"14746719, 14746700";0,245;Q2;11;43;123;854;35;103;0,33;19,86;United Kingdom;"Routledge";"2003-ongoing";"Religious Studies (Q1); History and Philosophy of Science (Q2); Multidisciplinary (Q2)"
